"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Growth Habit","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","Drought Tolerance","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period"
"LIST2","","Liquidambar styraciflua","sweetgum","Tree","Rapid","45","100","Yes","Yes","Yes","Low","Low","180","High","4.5","7.0","40","60","36","None","Intolerant","-21","Mid Spring"
"MAPO","","Maclura pomifera","Osage-orange","Tree, Shrub","Moderate","20","35","Yes","Yes","No","None","Medium","180","Medium","4.5","7.5","24","40","32","Low","Intolerant","-23","Late Spring"
"MAGR4","","Magnolia grandiflora","southern magnolia","Tree","Moderate","40","100","No","Yes","Yes","None","Low","220","High","4.5","6.5","35","60","42","Medium","Tolerant","7","Mid Spring"
"MAVI2","","Magnolia virginiana","sweetbay","Tree, Shrub","Moderate","40","60","Yes","Yes","Yes","Low","None","180","High","5.0","6.9","40","80","30","None","Intermediate","17","Summer"
"MAES","","Manihot esculenta","cassava","Subshrub, Shrub, Forb/herb, Tree","Rapid","","10","No","Yes","Yes","Low","Low","365","Medium","5.0","5.5","60","80","24","Low","Intolerant","17","Indeterminate"
"MOCA6","","Morella californica","California wax myrtle","Tree, Shrub","Moderate","30","33","Yes","Yes","No","Low","Low","240","Medium","6.0","7.5","40","70","20","High","Intolerant","22","Early Summer"
"MOAL","","Morus alba","white mulberry","Tree, Shrub","Moderate","30","50","Yes","Yes","Yes","None","Medium","130","Low","5.0","7.0","30","60","24","Medium","Intermediate","-18","Early Spring"
"MORU2","","Morus rubra","red mulberry","Tree","Moderate","45","70","Yes","Yes","Yes","Medium","Medium","140","Medium","5.0","7.0","35","60","24","None","Tolerant","-33","Early Spring"
"NYSY","","Nyssa sylvatica","blackgum","Tree","Moderate","30","95","Yes","Yes","No","Low","Low","140","Medium","4.5","6.0","40","60","30","Medium","Tolerant","-18","Late Spring"
"OSVI","","Ostrya virginiana","hophornbeam","Tree, Shrub","Slow","20","45","Yes","Yes","Yes","None","Medium","100","Low","4.2","7.6","18","60","16","None","Tolerant","-38","Mid Spring"
"PIEN","","Picea engelmannii","Engelmann spruce","Tree","Slow","30","120","No","Yes","Yes","None","Low","30","Medium","6.0","8.0","21","160","20","None","Tolerant","-50","Late Spring"
"PIMA","","Picea mariana","black spruce","Tree","Slow","20","65","Yes","Yes","Yes","Low","Low","60","High","4.7","6.5","5","60","16","None","Tolerant","-79","Late Spring"
"PIPU","","Picea pungens","blue spruce","Tree","Slow","20","100","Yes","Yes","No","None","Medium","120","Medium","5.5","7.8","20","45","18","Low","Intermediate","-38","Late Spring"
"PIED","","Pinus edulis","twoneedle pinyon","Tree","Slow","25","50","Yes","Yes","Yes","None","High","200","Low","6.5","8.5","9","27","20","Medium","Intolerant","-31","Early Summer"
"PIEL","","Pinus elliottii","slash pine","Tree","Rapid","60","100","No","Yes","Yes","Low","Low","250","Medium","4.0","6.4","40","80","40","None","Intolerant","-18","Winter"
